date	value	lower_ci	upper_ci	incidence	scenario
2021-03-01	11116052	10395599	11869496	NA	Informed
2021-03-02	11123300	10295071	11992556	7248	Informed
2021-03-03	11130912	10207249	12104165	7612	Informed
2021-03-04	11138024	10127700	12206979	7112	Informed
2021-03-05	11144879	10060446	12303624	6855	Informed
2021-03-06	11151426	9991926	12386026	6547	Informed
2021-03-07	11157906	9932136	12471698	6480	Informed
2021-03-08	11164601	9874793	12555894	6695	Informed
2021-03-09	11172062	9820233	12631037	7461	Informed
2021-03-10	11178612	9769676	12705001	6550	Informed
2021-03-11	11184352	9720946	12777976	5740	Informed
2021-03-12	11189672	9676869	12845265	5320	Informed
2021-03-13	11195811	9630796	12905998	6139	Informed
2021-03-14	11201873	9585976	12968166	6062	Informed
2021-03-15	11208323	9540368	13037273	6450	Informed
2021-03-16	11213833	9508911	13102637	5510	Informed
2021-03-17	11218973	9468642	13163687	5140	Informed
2021-03-18	11224811	9433041	13220097	5838	Informed
2021-03-19	11229970	9394481	13286207	5159	Informed
2021-03-20	11235308	9360406	13331815	5338	Informed
2021-03-21	11240552	9324388	13390755	5244	Informed
2021-03-22	11246011	9289353	13455518	5459	Informed
2021-03-23	11251306	9259488	13498478	5295	Informed
2021-03-24	11256651	9228238	13559250	5345	Informed
2021-03-25	11261944	9197217	13599774	5293	Informed
2021-03-26	11267539	9168533	13655220	5595	Informed
2021-03-27	11271922	9145153	13694941	4383	Informed
2021-03-28	11276908	9119005	13753772	4986	Informed
2021-03-29	11281979	9097544	13800044	5071	Informed
2021-03-30	11286634	9067216	13838647	4655	Informed
2021-03-31	11290603	9041000	13890508	3969	Informed
2021-04-01	11294759	9016134	13931119	4156	Informed
2021-04-02	11298988	8988324	13976334	4229	Informed
2021-04-03	11302679	8960243	14020747	3691	Informed
2021-04-04	11306258	8942901	14071821	3579	Informed
2021-04-05	11310481	8919399	14112284	4223	Informed
2021-04-06	11313881	8893220	14152290	3400	Informed
2021-04-07	11318014	8870405	14188653	4133	Informed
2021-04-08	11321974	8849126	14233575	3960	Informed
2021-04-09	11326144	8828089	14276033	4170	Informed
2021-04-10	11330217	8799510	14320545	4073	Informed
2021-04-11	11334123	8778552	14350985	3906	Informed
2021-04-12	11338049	8756521	14399537	3926	Informed
2021-04-13	11341430	8734147	14441597	3381	Informed
2021-04-14	11345033	8709517	14483906	3603	Informed
2021-04-15	11348493	8687700	14516234	3460	Informed
2021-04-16	11352655	8672244	14558219	4162	Informed
2021-04-17	11356115	8644324	14591595	3460	Informed
2021-04-18	11359303	8623736	14633904	3188	Informed
2021-04-19	11362915	8601243	14666882	3612	Informed
2021-04-20	11365866	8584850	14709048	2951	Informed
2021-04-21	11369268	8559924	14747983	3402	Informed
2021-04-22	11372371	8539717	14782664	3103	Informed
2021-04-23	11376080	8524885	14820831	3709	Informed
2021-04-24	11379335	8502645	14859238	3255	Informed
2021-04-25	11382283	8483280	14892508	2948	Informed
2021-04-26	11385500	8456839	14921152	3217	Informed
2021-04-27	11388603	8437321	14950455	3103	Informed
2021-04-28	11390690	8428615	14987425	2087	Informed
2021-04-29	11393495	8401320	15020391	2805	Informed
2021-04-30	11396182	8382801	15043132	2687	Informed
2021-05-01	11399601	8361218	15082350	3419	Informed
2021-05-02	11401895	8342127	15122031	2294	Informed
2021-05-03	11404348	8317708	15157888	2453	Informed
2021-05-04	11407415	8307171	15199064	3067	Informed
2021-05-05	11410028	8288586	15233068	2613	Informed
2021-05-06	11412949	8275884	15256091	2921	Informed
2021-05-07	11415697	8257231	15279701	2748	Informed
2021-05-08	11417849	8229617	15321140	2152	Informed
2021-05-09	11421014	8219526	15352421	3165	Informed
2021-05-10	11423822	8204630	15387477	2808	Informed
2021-05-11	11425953	8180749	15420418	2131	Informed
2021-05-12	11428920	8167415	15452969	2967	Informed
2021-05-13	11431960	8143028	15480297	3040	Informed
2021-05-14	11435642	8129462	15508219	3682	Informed
2021-05-15	11437557	8115912	15546029	1915	Informed
2021-05-16	11439634	8097781	15565082	2077	Informed
2021-05-17	11442018	8082010	15606214	2384	Informed
2021-05-18	11444437	8067281	15633296	2419	Informed
2021-05-19	11447032	8050401	15666309	2595	Informed
2021-05-20	11449700	8039806	15683021	2668	Informed
2021-05-21	11452726	8012868	15709188	3026	Informed
2021-05-22	11455106	7998861	15752031	2380	Informed
2021-05-23	11457103	7982977	15800593	1997	Informed
2021-05-24	11459817	7974799	15826130	2714	Informed
2021-05-25	11462006	7948898	15846699	2189	Informed
2021-05-26	11464487	7935563	15884550	2481	Informed
2021-05-27	11466845	7913903	15905850	2358	Informed
2021-05-28	11470221	7897201	15944011	3376	Informed
2021-05-29	11471679	7883419	15958411	1458	Informed
2021-05-30	11474069	7867089	16002099	2390	Informed
2021-05-31	11475699	7849064	16021099	1630	Informed
2021-06-01	11478206	7837797	16048185	2507	Informed
2021-06-02	11480232	7821268	16084029	2026	Informed
2021-06-03	11482284	7812276	16107253	2052	Informed
2021-06-04	11484634	7797160	16133970	2350	Informed
2021-06-05	11487015	7785793	16158215	2381	Informed
2021-06-06	11489263	7761786	16178324	2248	Informed
2021-06-07	11491209	7751862	16204161	1946	Informed
2021-06-08	11493771	7737037	16227738	2562	Informed
2021-06-09	11495932	7725774	16257553	2161	Informed
2021-06-10	11498258	7708531	16289055	2326	Informed
2021-06-11	11499941	7691620	16312073	1683	Informed
2021-06-12	11502146	7681148	16329967	2205	Informed
2021-06-13	11504415	7657766	16376090	2269	Informed
2021-06-14	11506000	7650817	16400155	1585	Informed
2021-06-15	11506979	7626555	16434051	979	Informed
2021-06-16	11508990	7619879	16447911	2011	Informed
2021-06-17	11511298	7598966	16473301	2308	Informed
2021-06-18	11513527	7587583	16514706	2229	Informed
2021-06-19	11515768	7576745	16528548	2241	Informed
2021-06-20	11518015	7565547	16563571	2247	Informed
2021-06-21	11519926	7549160	16579812	1911	Informed
2021-06-22	11522739	7538232	16609206	2813	Informed
2021-06-23	11525110	7517265	16643294	2371	Informed
2021-06-24	11527443	7499971	16653155	2333	Informed
2021-06-25	11529231	7477380	16702528	1788	Informed
2021-06-26	11531853	7480511	16717939	2622	Informed
2021-06-27	11533903	7461636	16745654	2050	Informed
