date	value	lower_ci	upper_ci	incidence	scenario
2021-03-01	11117325	10398337	11870206	NA	Informed
2021-03-02	11125501	10295394	11990938	8176	Informed
2021-03-03	11131845	10208662	12105297	6344	Informed
2021-03-04	11138711	10129266	12200922	6866	Informed
2021-03-05	11145090	10061288	12303335	6379	Informed
2021-03-06	11151508	9993903	12389660	6418	Informed
2021-03-07	11157520	9932271	12472049	6012	Informed
2021-03-08	11162628	9872236	12549282	5108	Informed
2021-03-09	11167724	9822137	12626203	5096	Informed
2021-03-10	11173742	9767701	12700590	6018	Informed
2021-03-11	11178657	9716606	12766430	4915	Informed
2021-03-12	11183770	9671982	12831441	5113	Informed
2021-03-13	11188289	9625480	12898315	4519	Informed
2021-03-14	11193216	9584436	12957021	4927	Informed
2021-03-15	11197591	9541509	13016907	4375	Informed
2021-03-16	11202321	9502173	13088029	4730	Informed
2021-03-17	11206741	9461144	13136522	4420	Informed
2021-03-18	11211389	9430542	13190838	4648	Informed
2021-03-19	11215635	9391906	13246385	4246	Informed
2021-03-20	11219209	9355949	13303005	3574	Informed
2021-03-21	11222457	9320226	13344973	3248	Informed
2021-03-22	11226625	9296318	13396586	4168	Informed
2021-03-23	11229409	9256602	13443681	2784	Informed
2021-03-24	11232699	9226984	13491741	3290	Informed
2021-03-25	11235461	9200093	13539516	2762	Informed
2021-03-26	11237950	9167426	13589580	2489	Informed
2021-03-27	11240851	9142622	13638872	2901	Informed
2021-03-28	11242911	9107315	13678846	2060	Informed
2021-03-29	11245725	9078721	13723792	2814	Informed
2021-03-30	11247983	9051248	13765946	2258	Informed
2021-03-31	11250898	9026749	13805329	2915	Informed
2021-04-01	11253362	9002111	13840577	2464	Informed
2021-04-02	11254947	8973845	13882232	1585	Informed
2021-04-03	11256855	8938634	13927241	1908	Informed
2021-04-04	11258796	8928526	13967216	1941	Informed
2021-04-05	11260457	8897866	14008296	1661	Informed
2021-04-06	11262618	8869819	14048488	2161	Informed
2021-04-07	11264318	8849385	14079556	1700	Informed
2021-04-08	11266312	8816856	14113099	1994	Informed
2021-04-09	11268366	8802121	14145824	2054	Informed
2021-04-10	11269102	8779462	14189818	736	Informed
2021-04-11	11271149	8756002	14211948	2047	Informed
2021-04-12	11272970	8736249	14253903	1821	Informed
2021-04-13	11275064	8709531	14298920	2094	Informed
2021-04-14	11276419	8687504	14318754	1355	Informed
2021-04-15	11277868	8656714	14361772	1449	Informed
2021-04-16	11279210	8643056	14391905	1342	Informed
2021-04-17	11279882	8623079	14423766	672	Informed
2021-04-18	11280736	8600293	14455001	854	Informed
2021-04-19	11282129	8569106	14484449	1393	Informed
2021-04-20	11283333	8548307	14516981	1204	Informed
2021-04-21	11284440	8521207	14553916	1107	Informed
2021-04-22	11285832	8502409	14574271	1392	Informed
2021-04-23	11286486	8480362	14610335	654	Informed
2021-04-24	11287454	8455142	14630389	968	Informed
2021-04-25	11288252	8446212	14665433	798	Informed
2021-04-26	11288795	8422974	14687723	543	Informed
2021-04-27	11289015	8400075	14714164	220	Informed
2021-04-28	11289909	8382858	14744268	894	Informed
2021-04-29	11291218	8369238	14774011	1309	Informed
2021-04-30	11292034	8343747	14805960	816	Informed
2021-05-01	11291877	8326440	14829653	-157	Informed
2021-05-02	11292930	8305100	14858650	1053	Informed
2021-05-03	11293805	8286464	14887158	875	Informed
2021-05-04	11294592	8266743	14902385	787	Informed
2021-05-05	11294285	8247436	14933846	-307	Informed
2021-05-06	11294759	8233588	14962215	474	Informed
2021-05-07	11295493	8212774	14993393	734	Informed
2021-05-08	11296257	8191032	15017608	764	Informed
2021-05-09	11296390	8175492	15050998	133	Informed
2021-05-10	11296829	8146672	15075921	439	Informed
2021-05-11	11297893	8123919	15093815	1064	Informed
2021-05-12	11298440	8116198	15119541	547	Informed
2021-05-13	11298272	8089413	15142360	-168	Informed
2021-05-14	11299513	8072788	15171644	1241	Informed
2021-05-15	11300197	8049237	15195421	684	Informed
2021-05-16	11300661	8038708	15227129	464	Informed
2021-05-17	11300797	8017876	15246404	136	Informed
2021-05-18	11301273	7990937	15269156	476	Informed
2021-05-19	11302039	7984828	15289535	766	Informed
2021-05-20	11302847	7965449	15307118	808	Informed
2021-05-21	11303092	7946944	15350215	245	Informed
2021-05-22	11303974	7936705	15358997	882	Informed
2021-05-23	11304087	7918200	15400165	113	Informed
2021-05-24	11304472	7890503	15425645	385	Informed
2021-05-25	11304735	7880585	15442024	263	Informed
2021-05-26	11304844	7854644	15472457	109	Informed
2021-05-27	11305252	7835373	15485831	408	Informed
2021-05-28	11306471	7819242	15509877	1219	Informed
2021-05-29	11307201	7807457	15542375	730	Informed
2021-05-30	11308276	7783953	15558712	1075	Informed
2021-05-31	11308732	7770943	15584176	456	Informed
2021-06-01	11308810	7764387	15602976	78	Informed
2021-06-02	11309164	7737493	15628647	354	Informed
2021-06-03	11310157	7729382	15648523	993	Informed
2021-06-04	11311007	7713291	15681203	850	Informed
2021-06-05	11311390	7695158	15701944	383	Informed
2021-06-06	11312759	7674832	15721242	1369	Informed
2021-06-07	11313127	7661755	15752370	368	Informed
2021-06-08	11313582	7636658	15751849	455	Informed
2021-06-09	11314386	7629546	15777028	804	Informed
2021-06-10	11314057	7616287	15803399	-329	Informed
2021-06-11	11315016	7603987	15818796	959	Informed
2021-06-12	11315684	7590404	15826515	668	Informed
2021-06-13	11316002	7577736	15870410	318	Informed
2021-06-14	11315872	7562141	15877131	-130	Informed
2021-06-15	11315942	7542616	15902358	70	Informed
2021-06-16	11316223	7529195	15914319	281	Informed
2021-06-17	11316833	7516218	15930184	610	Informed
2021-06-18	11316830	7503370	15968192	-3	Informed
2021-06-19	11316805	7479377	15984285	-25	Informed
2021-06-20	11317183	7464548	16002373	378	Informed
2021-06-21	11317547	7442466	16027332	364	Informed
2021-06-22	11317523	7436725	16037783	-24	Informed
2021-06-23	11317212	7421023	16080578	-311	Informed
2021-06-24	11317613	7409871	16087835	401	Informed
2021-06-25	11318605	7388091	16099242	992	Informed
2021-06-26	11317920	7367970	16129279	-685	Informed
2021-06-27	11318438	7352978	16137084	518	Informed
