date	value	lower_ci	upper_ci	incidence	scenario
2021-03-15	11387982	10649668	12158611	NA	Informed
2021-03-16	11396828	10551374	12289552	8846	Informed
2021-03-17	11405078	10457962	12402415	8250	Informed
2021-03-18	11413428	10383877	12511386	8350	Informed
2021-03-19	11420913	10310425	12604239	7485	Informed
2021-03-20	11429351	10240890	12700831	8438	Informed
2021-03-21	11436724	10181076	12781807	7373	Informed
2021-03-22	11444334	10123871	12865228	7610	Informed
2021-03-23	11451661	10068668	12940794	7327	Informed
2021-03-24	11458278	10011900	13028774	6617	Informed
2021-03-25	11465269	9969704	13096156	6991	Informed
2021-03-26	11471017	9923010	13157873	5748	Informed
2021-03-27	11476918	9881718	13231464	5901	Informed
2021-03-28	11483140	9835132	13298506	6222	Informed
2021-03-29	11489760	9794752	13371934	6620	Informed
2021-03-30	11494778	9754887	13420687	5018	Informed
2021-03-31	11500175	9708201	13492794	5397	Informed
2021-04-01	11504725	9671776	13539937	4550	Informed
2021-04-02	11509862	9636803	13611393	5137	Informed
2021-04-03	11514389	9601792	13666406	4527	Informed
2021-04-04	11519554	9561796	13721559	5165	Informed
2021-04-05	11523988	9525773	13777399	4434	Informed
2021-04-06	11528641	9495074	13825130	4653	Informed
2021-04-07	11532580	9461411	13880118	3939	Informed
2021-04-08	11536796	9433573	13939951	4216	Informed
2021-04-09	11540375	9400089	13997479	3579	Informed
2021-04-10	11545351	9370738	14028036	4976	Informed
2021-04-11	11549039	9336622	14085140	3688	Informed
2021-04-12	11552065	9308624	14127844	3026	Informed
2021-04-13	11555570	9276688	14173228	3505	Informed
2021-04-14	11558783	9254940	14209814	3213	Informed
2021-04-15	11561550	9223683	14260520	2767	Informed
2021-04-16	11565028	9205677	14311695	3478	Informed
2021-04-17	11567979	9174437	14352576	2951	Informed
2021-04-18	11571517	9149524	14400123	3538	Informed
2021-04-19	11573229	9122540	14420341	1712	Informed
2021-04-20	11576382	9104271	14473930	3153	Informed
2021-04-21	11578949	9075881	14508781	2567	Informed
2021-04-22	11581406	9048612	14556181	2457	Informed
2021-04-23	11583919	9036903	14595674	2513	Informed
