date	value	lower_ci	upper_ci	incidence	scenario
2021-04-15	14178010	13207852	15185363	NA	Informed
2021-04-16	14294608	13155694	15488594	116598	Informed
2021-04-17	14387527	13091979	15759636	92919	Informed
2021-04-18	14482698	13037689	16034311	95171	Informed
2021-04-19	14571104	12988452	16280175	88406	Informed
2021-04-20	14655119	12940700	16521666	84015	Informed
2021-04-21	14741614	12898427	16763514	86495	Informed
2021-04-22	14845939	12871696	17031704	104325	Informed
2021-04-23	14966538	12865924	17315450	120599	Informed
2021-04-24	15104457	12870766	17615188	137919	Informed
2021-04-25	15257545	12883977	17942061	153088	Informed
2021-04-26	15412449	12900871	18289827	154904	Informed
2021-04-27	15557195	12917076	18607158	144746	Informed
2021-04-28	15679583	12916221	18903195	122388	Informed
2021-04-29	15784187	12903152	19179299	104604	Informed
2021-04-30	15873283	12876815	19407900	89096	Informed
2021-05-01	15958037	12857779	19649843	84754	Informed
2021-05-02	16039074	12826303	19869533	81037	Informed
2021-05-03	16121000	12796992	20105736	81926	Informed
2021-05-04	16199305	12776956	20314943	78305	Informed
2021-05-05	16282445	12752988	20540486	83140	Informed
2021-05-06	16363057	12740641	20758773	80612	Informed
2021-05-07	16434833	12708891	20945895	71776	Informed
2021-05-08	16502502	12679068	21155480	67669	Informed
2021-05-09	16568617	12656811	21341803	66115	Informed
2021-05-10	16630177	12641669	21514925	61560	Informed
2021-05-11	16693229	12620139	21710470	63052	Informed
2021-05-12	16755718	12603984	21874102	62489	Informed
2021-05-13	16818237	12590303	22044309	62519	Informed
2021-05-14	16880028	12569936	22215911	61791	Informed
2021-05-15	16939649	12555384	22371578	59621	Informed
2021-05-16	16994225	12529632	22525078	54576	Informed
2021-05-17	17048775	12521423	22674664	54550	Informed
2021-05-18	17100354	12502572	22831578	51579	Informed
2021-05-19	17150146	12488905	22965252	49792	Informed
2021-05-20	17199062	12484651	23098271	48916	Informed
2021-05-21	17246264	12475197	23237874	47202	Informed
2021-05-22	17291174	12465378	23354777	44910	Informed
2021-05-23	17338122	12458810	23489627	46948	Informed
2021-05-24	17387489	12448986	23628456	49367	Informed
2021-05-25	17437590	12456825	23755526	50101	Informed
2021-05-26	17494064	12445937	23901627	56474	Informed
2021-05-27	17551728	12458359	24054216	57664	Informed
2021-05-28	17610483	12452528	24202048	58755	Informed
2021-05-29	17666876	12457422	24343016	56393	Informed
2021-05-30	17720311	12459081	24491134	53435	Informed
2021-05-31	17767695	12472951	24612541	47384	Informed
2021-06-01	17813912	12464830	24750878	46217	Informed
2021-06-02	17858015	12475234	24865845	44103	Informed
2021-06-03	17900283	12476517	24998263	42268	Informed
2021-06-04	17940378	12478445	25094172	40095	Informed
2021-06-05	17980332	12483598	25189050	39954	Informed
2021-06-06	18016516	12485705	25295939	36184	Informed
2021-06-07	18052120	12491003	25398804	35604	Informed
2021-06-08	18090567	12492074	25501686	38447	Informed
2021-06-09	18128733	12496194	25600308	38166	Informed
2021-06-10	18168440	12506184	25733619	39707	Informed
2021-06-11	18210126	12495778	25836061	41686	Informed
2021-06-12	18251471	12503549	25960282	41345	Informed
