date	value	lower_ci	upper_ci	incidence	scenario
2021-03-01	11110670	10385201	11869145	NA	Informed
2021-03-02	11114172	10276008	11994036	3502	Informed
2021-03-03	11117899	10183583	12102626	3727	Informed
2021-03-04	11120882	10102410	12202641	2983	Informed
2021-03-05	11123608	10022820	12296267	2726	Informed
2021-03-06	11126903	9954624	12380472	3295	Informed
2021-03-07	11130617	9887243	12469911	3714	Informed
2021-03-08	11133657	9825470	12550909	3040	Informed
2021-03-09	11137428	9765294	12621548	3771	Informed
2021-03-10	11141259	9712407	12696672	3831	Informed
2021-03-11	11143380	9655157	12768223	2121	Informed
2021-03-12	11145911	9607760	12843489	2531	Informed
2021-03-13	11148591	9558072	12893178	2680	Informed
2021-03-14	11151520	9500014	12967224	2929	Informed
2021-03-15	11155110	9452917	13038526	3590	Informed
2021-03-16	11158235	9421711	13094574	3125	Informed
2021-03-17	11161395	9375521	13153832	3160	Informed
2021-03-18	11164613	9327221	13216261	3218	Informed
2021-03-19	11167194	9293054	13269918	2581	Informed
2021-03-20	11169280	9248652	13328697	2086	Informed
2021-03-21	11172018	9202522	13388774	2738	Informed
2021-03-22	11174167	9171920	13433724	2149	Informed
2021-03-23	11177141	9125895	13498882	2974	Informed
2021-03-24	11180454	9087198	13552897	3313	Informed
2021-03-25	11183562	9057179	13610904	3108	Informed
2021-03-26	11186437	9020260	13653732	2875	Informed
2021-03-27	11189331	8981227	13715581	2894	Informed
2021-03-28	11192641	8951178	13766921	3310	Informed
2021-03-29	11195490	8912210	13816086	2849	Informed
2021-03-30	11198871	8883302	13865387	3381	Informed
2021-03-31	11201949	8856416	13913329	3078	Informed
2021-04-01	11205297	8822401	13963095	3348	Informed
2021-04-02	11207844	8795501	14006202	2547	Informed
2021-04-03	11210740	8764106	14047619	2896	Informed
2021-04-04	11214446	8739249	14097569	3706	Informed
2021-04-05	11217235	8705472	14149330	2789	Informed
2021-04-06	11220725	8681675	14202662	3490	Informed
2021-04-07	11224009	8652530	14262146	3284	Informed
2021-04-08	11226262	8625541	14294595	2253	Informed
2021-04-09	11228658	8602185	14341122	2396	Informed
2021-04-10	11231610	8575961	14388589	2952	Informed
2021-04-11	11234920	8545828	14432159	3310	Informed
2021-04-12	11238176	8523245	14474631	3256	Informed
2021-04-13	11241528	8494250	14524823	3352	Informed
2021-04-14	11244754	8466787	14569801	3226	Informed
2021-04-15	11248119	8436809	14614997	3365	Informed
2021-04-16	11250787	8414188	14659209	2668	Informed
2021-04-17	11253683	8387431	14702279	2896	Informed
2021-04-18	11256047	8364748	14746008	2364	Informed
2021-04-19	11258549	8337556	14781963	2502	Informed
2021-04-20	11261355	8302163	14829403	2806	Informed
2021-04-21	11263840	8281994	14870552	2485	Informed
2021-04-22	11266525	8252792	14916691	2685	Informed
2021-04-23	11269444	8231084	14953838	2919	Informed
2021-04-24	11272700	8218457	15006060	3256	Informed
2021-04-25	11275673	8193414	15037829	2973	Informed
2021-04-26	11279076	8168541	15090564	3403	Informed
2021-04-27	11281867	8142087	15132423	2791	Informed
2021-04-28	11284966	8125860	15174819	3099	Informed
2021-04-29	11288158	8106718	15228841	3192	Informed
2021-04-30	11291532	8080067	15272013	3374	Informed
2021-05-01	11294409	8055997	15313330	2877	Informed
2021-05-02	11297993	8037590	15353800	3584	Informed
2021-05-03	11300938	8008889	15409607	2945	Informed
2021-05-04	11303561	7987394	15432854	2623	Informed
2021-05-05	11307288	7965227	15468978	3727	Informed
2021-05-06	11309737	7953527	15516291	2449	Informed
2021-05-07	11312666	7928348	15556557	2929	Informed
2021-05-08	11315661	7903807	15607328	2995	Informed
2021-05-09	11318004	7885460	15641971	2343	Informed
2021-05-10	11320710	7858708	15679898	2706	Informed
2021-05-11	11323577	7833053	15714163	2867	Informed
2021-05-12	11327270	7814812	15762848	3693	Informed
2021-05-13	11330030	7788765	15812715	2760	Informed
2021-05-14	11333031	7773570	15860192	3001	Informed
2021-05-15	11336348	7747932	15889326	3317	Informed
2021-05-16	11339226	7728331	15936944	2878	Informed
2021-05-17	11342040	7706940	15992623	2814	Informed
2021-05-18	11345771	7686102	16016962	3731	Informed
2021-05-19	11349461	7668018	16075259	3690	Informed
2021-05-20	11352147	7646395	16119156	2686	Informed
2021-05-21	11355337	7623139	16156445	3190	Informed
2021-05-22	11358705	7608258	16190786	3368	Informed
2021-05-23	11361206	7589700	16245631	2501	Informed
2021-05-24	11363887	7568902	16283400	2681	Informed
2021-05-25	11366451	7539470	16338997	2564	Informed
2021-05-26	11370010	7516987	16358678	3559	Informed
2021-05-27	11373065	7501176	16410397	3055	Informed
2021-05-28	11375974	7479682	16458396	2909	Informed
2021-05-29	11379819	7458501	16498027	3845	Informed
2021-05-30	11383039	7437018	16549999	3220	Informed
2021-05-31	11386714	7420337	16580360	3675	Informed
2021-06-01	11389932	7397835	16617411	3218	Informed
2021-06-02	11393656	7382064	16666027	3724	Informed
2021-06-03	11396975	7361998	16702189	3319	Informed
2021-06-04	11400279	7334544	16755824	3304	Informed
2021-06-05	11403384	7313526	16790312	3105	Informed
2021-06-06	11406853	7298142	16820879	3469	Informed
2021-06-07	11409906	7270894	16889631	3053	Informed
2021-06-08	11412449	7258349	16915858	2543	Informed
2021-06-09	11415989	7242227	16970530	3540	Informed
2021-06-10	11419598	7219727	16996747	3609	Informed
2021-06-11	11423575	7210855	17038113	3977	Informed
2021-06-12	11427296	7188877	17091062	3721	Informed
2021-06-13	11430575	7161660	17142811	3279	Informed
2021-06-14	11434880	7135820	17194021	4305	Informed
2021-06-15	11439710	7119359	17233758	4830	Informed
2021-06-16	11443922	7096779	17288261	4212	Informed
2021-06-17	11448510	7073754	17327201	4588	Informed
2021-06-18	11451818	7060167	17393302	3308	Informed
2021-06-19	11456233	7028150	17418564	4415	Informed
2021-06-20	11459669	7015468	17462987	3436	Informed
2021-06-21	11463288	6989992	17528660	3619	Informed
2021-06-22	11467694	6974260	17555598	4406	Informed
2021-06-23	11471544	6944075	17605496	3850	Informed
2021-06-24	11475638	6927584	17644529	4094	Informed
2021-06-25	11479602	6907865	17685398	3964	Informed
2021-06-26	11483348	6883305	17734008	3746	Informed
2021-06-27	11487446	6865291	17779176	4098	Informed
